!exclamation-point|ʔ e k s k l ɐ m a ʃ o n p o ʔ ɪ n t
downrange|d o w n ɾ a ŋ e
dozier|d o s ɪ e ɾ
drach|d ɾ a x
drane|d ɾ a n e
drifted|d ɾ ɪ f t e d
driverless|d ɾ ɪ b e ɾ l e s
droll|d ɾ o l l
druck|d ɾ ʊ k
dubcek(2)|d ʊ b s e k
duboff|d ʊ b o f
dubrow|d ʊ b ɾ o ʊ̯
duerksen|d w e ɾ k s e n
dukakis's|d ʊ x a x ɪ s
dullest|d ʊ l l e s t
dumler|d u m l e ɾ
dunnavant|d ʊ n n a b ɐ n t
duplicative|d ʊ p l ɪ x ɐ t i b e
duramed|d ʊ ɾ a m e d
durenberger|d ʊ ɾ e n b e ɾ ɡ e ɾ
dusch(2)|d ʊ s t͡ʃ
dustman|d ʊ s t m a n
dwarves|d w a ɾ b e s
dwindled|d w ɪ n d l e d
dysinger|d ɪ s ɪ ŋ e ɾ
dziuk|d͡ʒ i ʊ k
e.s|ʔ e s
eagle's|ʔ æ ɡ l e s
earline|ʔ æ ɾ l i n e
ebbing|ʔ e b b ɪ ŋ
echols|ʔ e t͡ʃ o l s
eckardt's(2)|ʔ e k ɐ ɾ d t s
ecolab(2)|ʔ e x o l ɐ b
economico|ʔ e x o n o m ɪ x o
economy's|ʔ e x o n o m ɪ s
edenton|ʔ e d e n t o n
edgerton|ʔ e d͡ʒ e ɾ t o n
edifying|ʔ e d ɪ f j i ŋ
edition's|ʔ e d ɪ ʃ o n s
edlin|ʔ e d l i n
educated(2)|ʔ e d ʊ x a t e d
effertz|ʔ e f f e ɾ t͡s
effy|ʔ e f f ɪ
eggleston|ʔ e ɡ ɡ l e s t o n
ehrig|ʔ e h ɾ ɪ ɡ
eichhorst|ʔ e ɪ̯ h h o ɾ s t
eighteen's|ʔ e ɪ̯ t i ə n s
eiseman|ʔ e ɪ̯ s e m a n
eisler|ʔ e ɪ̯ s l e ɾ
ejup(2)|ʔ e d͡ʒ ʊ p
ekstrom|ʔ e k s t ɾ o m
elater(2)|ʔ e l ɐ t e ɾ
electrics|ʔ e l e k t ɾ ɪ k s
electrolysis|ʔ e l e k t ɾ o l ɪ s i s
elek|ʔ e l e k
elisa's|ʔ e l i s ɐ s
elizondo|ʔ e l ɪ s o n d o
ellerbee|ʔ e l l e ɾ b e e
ellingsen|ʔ e l l ɪ ŋ s e n
ellsberg's|ʔ e l l s b e ɾ ɡ s
elswick|ʔ e l s w ɪ k
elving|ʔ e l b ɪ ŋ
embarrass|ʔ e m b ɐ ɾ a s
emblematic|ʔ e m b l e m a t ɪ k
embroiderer|ʔ e m b ɾ o ɪ̯ d e ɾ e ɾ
emerged|ʔ e m e ɾ ɡ e d
emigrating|ʔ e m ɪ ɡ ɾ a t ɪ ŋ
empirical|ʔ e m p ɪ ɾ ɪ x a l
employees(2)|ʔ e m p l o j e e s
enable|ʔ e n a b l e
enactments(3)|ʔ e n a k t m e n t s
encata|ʔ e ŋ k a t ɐ
encroaches|ʔ e ŋ k ɾ o ɐ t͡ʃ e s
endara|ʔ e n d a ɾ ɐ
endotronics's|ʔ e n d o t ɾ o n ɪ k s ɪ s
enemies'|ʔ e n e m ɪ e s
enfold|ʔ e n f o l d
engelson|ʔ e ŋ e l s o n
engineer's|ʔ e ŋ ɪ n e ɾ s
engler's(2)|ʔ e ŋ ɡ l e ɾ s
enjoying(2)|ʔ e n d͡ʒ o j ɪ ŋ
enlarges|ʔ e n l a ɾ ɡ e s
enmities(2)|ʔ e m m ɪ t͡ʃ e s
enormously|ʔ e n o ɾ m o ʊ̯ s l i
enslaved|ʔ e n s l a b e d
ensuring(2)|ʔ e n s ʊ ɾ i ŋ
entered(2)|ʔ e n t e ɾ e d
enterprises(2)|ʔ e n t e ɾ p ɾ ɪ s e s
enthral|ʔ e n t h ɾ a l
enticed|ʔ e n t i s e d
entity(2)|ʔ e n t ɪ t͡ʃ
entringer|ʔ e n t ɾ ɪ ŋ e ɾ
enumeration|ʔ e n ʊ m e ɾ a ʃ o n
environmentalists(2)|ʔ e m b ɪ ɾ o m m e n t ɐ l i s t s
epic's|ʔ e p ɪ k s
equated|ʔ e x w ɐ t e d
equities'|ʔ e x ɪ t͡ʃ e s
erasable|ʔ e ɾ ɐ s a b l e
erbes|ʔ e ɾ b e s
erline|ʔ e ɾ l i n e
escarpment|ʔ e s k a ɾ p m e n t
eskridge|ʔ e s k ɾ ɪ d ɡ e
espenshade(2)|ʔ e s p e n ʃ a d e
estonians|ʔ e s t o ɲ ɐ n s
ethereal|ʔ e t h e ɾ e ɐ l
ethnics|ʔ e t n ɪ k s
euan|ʔ e w ɐ n
euclea|j ʊ k l e j ɐ
eurest|ʔ e w ɾ e s t
eurocrat|ʔ e ʊ̯ ɾ o k ɾ ɐ t
eurotunnel|ʔ e ʊ̯ ɾ o t ʊ n e l
eva's(2)|ʔ e b ɐ s
evader(2)|ʔ e b ɐ d e ɾ
evaporates(2)|ʔ e b ɐ p o ɾ a t e s
eventuality(2)|ʔ e b e n t ʊ ɐ l i t͡ʃ
everman|ʔ e b e ɾ m ɐ n
everywhere(2)|ʔ e b e ɾ ɪ w e ɾ e
evin|ʔ e b ɪ n
evokes|ʔ e b o x e s
exalting|ʔ e ɡ z a l t ɪ ŋ
exbroker|ʔ e k s b ɾ o x e ɾ
excellently|ʔ e k s e l l e n t l ɪ
exigents|ʔ e ɡ z ɪ d͡ʒ e n t s
expending|ʔ e k s p e n d ɪ ŋ
experimented|ʔ e k s p e ɾ ɪ m e n t e d
exploration(2)|ʔ e k s p l o ɾ a ʃ o n
facemire|f ɐ s e m i ɾ e
facts(2)|f ɐ k t s
fadely|f ɐ d e l ɪ
faggart|f ɐ ɡ ɡ a ɾ t
fahrney|f ɐ h ɾ n e ɪ̯
faintly|f ɐ ʔ i n t l ɪ
fairless|f a ɾ l e s
falcoff|f ɐ l k o f
faley|f a l e ɪ̯
fancied|f a n ʃ e d
fangle|f ɐ ŋ l e
farabee|f ɐ ɾ ɐ b e ʔ e
fared|f ɐ ɾ e d
farmboy|f ɐ ɾ m b o ɪ̯
farney|f ɐ ɾ n e ɪ̯
farthing|f ɐ ɾ t h i ŋ
fasone|f ɐ s o n e
fates|f a t e s
fauber|f a ʊ̯ b e ɾ
favazza|f ɐ b a s ɐ
fayette|f ɐ j e t e
feagins|f e ɐ ɰ i n s
february's(3)|f e b ɾ ʊ ɐ ɾ i s
fedrick|f e d ɾ ɪ k
feher|f e h e ɾ
feldspar|f e l d s p ɐ ɾ
felicite(2)|f e l ɪ s i t e
felrice|f e l ɾ i s e
fenter|f e n t e ɾ
fermenta's|f e ɾ m e n t ɐ s
fernanda(2)|f e ɾ n a n d ɐ
ferriz|f e ɾ ɾ ɪ s
fertig|f e ɾ t ɪ ɡ
feser|f e s e ɾ
festival's|f e s t i b ɐ l s
fetishists(2)|f e t ɪ s h i s t͡ʃ
fibrin|f ɪ b ɾ i n
ficker|f ɪ k e ɾ
fiddler(2)|f ɪ d l e ɾ
fidler|f ɪ d l e ɾ
fierstein(2)|f ɪ e ɾ s t e ʔ ɪ n
fildes|f ɪ l d e s
filla|f ɪ l l a
finagler|f ɪ n ɐ ɡ l e ɾ
financially(2)|f ɪ n a n ʃ ɐ l l ɪ x
fincke|f ɪ ŋ k e
finerty|f ɪ n e ɾ t ɪ
fining|f ɪ n i ŋ
finke|f ɪ ŋ k e
firesign|f ɪ ɾ e s i ɡ n
firmed|f ɪ ɾ m e d
fishbach|f ɪ s h b a x
fissured|f ɪ s ʊ ɾ e d
fizzling(2)|f ɪ t s e l ɪ ŋ
flammang|f l ɐ m m a ŋ
fleetingly|f l e e t ɪ ŋ l i
flexnor|f l e k s n o ɾ
flim|f l ɪ m
flintstone|f l ɪ n t s t o n e
floodwater|f l ʊ d w ɐ t e ɾ
floresheim|f l o ɾ e s h e ʔ ɪ m
florists|f l o ɾ ɪ s t s
flourish|f l o ʊ̯ ɾ ɪ ʃ
flume|f l u m e
fluoridation|f l ʊ ɔ ɾ ɪ d a ʃ o n
foliage(2)|f o l j ɐ ɰ e
fondue(2)|p o n d ʊ e
fooks|f ʊ k s
foran|f o ɾ ɐ n
force's|f o ɾ s e s
forebears|f o ɾ e b e ɾ s
foregone|f o ɾ e ɰ o n e
foresta|f o ɾ e s t ɐ
forgette|f o ɾ ɡ e t e
forgotten(2)|f o ɾ ɡ o t e n
formulate|f o ɾ m ʊ l a t e
forquer|f o ɾ k e ɾ
fortes|f o ɾ t e s
fortifier|f o ɾ t ɪ f i e ɾ
fortune's(2)|f o ɾ t u n e s
fours|f o ʊ ɾ s
foutz|f o ʊ̯ t͡s
fraire|f ɾ a ɪ̯ ɾ e
frantz|f ɾ a n t͡s
frasure|f ɾ ɐ s u ɾ e
fraudster's|f ɾ a ʊ̯ d s t e ɾ s
frears|f ɾ e ɐ ɾ s
fredericksen|f ɾ e d e ɾ ɪ k s e n
freeberg|f ɾ e e b e ɾ ɡ
freest|f ɾ e ʔ e s t
fregoso|f ɾ e ɰ o s o
french's|f ɾ e n t͡ʃ
frequented|f ɾ e x e n t e d
freudenthal|f ɾ e ʊ̯ d e n t h a l
friede|f ɾ ɪ e d e
frisella|f ɾ ɪ s e l l ɐ
fritzler|f ɾ ɪ t s l e ɾ
frogg|f ɾ o ɡ ɡ
froman|f ɾ o m ɐ n
fuddruckers|f ʊ d ɾ ʊ k e ɾ s
fugazy|f ʊ ɰ a s ɪ
functionally|f ʊ ŋ k ʃ o n a l l ɪ
fundora|f ʊ n d o ɾ ɐ
fuoss|f ʊ ʔ o s
furini|f ʊ ɾ i n ɪ
fuzes|f ʊ s e s
fyffe|f ɪ f f e
gaertner|ɡ ɐ ʔ e ɾ t n e ɾ
gagan|ɡ ɐ ɰ a n
gagner|ɡ ɐ ɡ n e ɾ
galebs|ɡ ɐ l e b s
galls|ɡ ɐ l l s
gambler's|ɡ ɐ m b l e ɾ s
gander|ɡ ɐ n d e ɾ
ganem|ɡ ɐ n e m
gare|ɡ ɐ ɾ e
garmon|ɡ ɐ ɾ m o n
garrido-luna|ɡ ɐ ɾ ɪ d o - l u n ɐ
garzarelli|ɡ ɐ ɾ s ɐ ɾ e l l ɪ
gaskets|ɡ ɐ s k e t s
gasque|ɡ a s k e
gaster|ɡ ɐ s t e ɾ
gatherer|ɡ ɐ t h e ɾ e ɾ
gaudette|ɡ a ʊ̯ d e t e
gaughran|ɡ ɐ ʔ ʊ ɡ h ɾ a n
gausman|ɡ a ʊ̯ s m ɐ n
gawk|ɡ a ʊ̯ k
geise|ɡ e ɪ̯ s e
gellatly|ɡ e l l ɐ t l ɪ
gelvin|ɡ e l b ɪ n
generalizations(2)|d͡ʒ e n e ɾ ɐ l ɪ s a ʃ o n s
genger|ɡ e ŋ e ɾ
genlyte|ɡ e n l ɪ t e
gentlewoman(2)|ɡ e n t l e w ʊ m a n
genzyme|ɡ e n s ɪ m e
georgiana|ɡ e o ɾ ɡ j a n ɐ
geremia|ɡ e ɾ e m j ɐ
gerkin|ɡ e ɾ k ɪ n
germany's|ɡ e ɾ m a ɲ ɪ s
gerrymandering|ɡ e ɾ ɾ ɪ m ɐ n d e ɾ ɪ ŋ
gettin'|ɡ e t ɪ n
geva|ɡ e b ɐ
ghattas|ɡ h ɐ t a s
giancana|ɡ ɪ ɐ ŋ k a n ɐ
giant's|ɡ ɪ ɐ n t s
gibbs's|ɡ ɪ b b s ɪ s
gidcumb|ɡ ɪ d k u m b
giersch|ɡ ɪ e ɾ ʃ
gigliotti|ɡ ɪ ɡ l ɪ o t i
gilberto(2)|ɡ ɪ l b e ɾ t o
gile|ɡ ɪ l e
gilkisons|ɡ ɪ l k ɪ s o n s
gillies|ɡ ɪ l l i e s
gillum|ɡ ɪ l l u m
gintz|ɡ ɪ n t͡s
gipson|ɡ ɪ p s o n
givins|ɡ ɪ b i n s
gladis|ɡ l a d ɪ s
glastetter|ɡ l ɐ s t e t e ɾ
glazier|ɡ l ɐ s i e ɾ
glenn's|ɡ l e n n s
glib|ɡ l ɪ b
gloomier|ɡ l ʊ m j e ɾ
gloved|ɡ l o b e d
gnats|ɡ n a t͡s
goatley|ɡ o ɐ t l e ɪ̯
godina|ɡ o d i n ɐ
godsell|ɡ o d s e l l
goeller|ɡ o e l l e ɾ
goetzman|ɡ o e t͡s m ɐ n
golem|ɡ o l e m
gondek|ɡ o n d e k
goodale|ɡ ʊ d a l e
goodhue|ɡ ʊ d h u
goodyear's|ɡ ʊ d͡ʒ j æ ɾ z
gorbachevs(2)|ɡ o ɾ b ɐ t͡ʃ e f s
gorey|ɡ o ɾ e ɪ̯
gort|ɡ o ɾ t
gose|ɡ o s e
gotschal|ɡ o t͡ʃ a l
gould's|ɡ o ʊ̯ l d s
govea|ɡ o b e ɐ
gowens|ɡ o w e n s
gozofsky|ɡ o s o f s k ɪ
graciousness|ɡ ɾ a ʃ o s n e s
gradovs|ɡ ɾ ɐ d o f s
gradus|ɡ ɾ a d ʊ s
graeser|ɡ ɾ ɐ ʔ e s e ɾ
gramling|ɡ ɾ ɐ m l i ŋ
grander|ɡ ɾ ɐ n d e ɾ
grandmothers(2)|ɡ ɾ ɐ n m o ð e ɾ s
grandstaff(2)|ɡ ɾ ɐ n d s t ɐ f f
granoff|ɡ ɾ ɐ n o f
graphically|ɡ ɾ ɐ p h i x ɐ l l i
grassel|ɡ ɾ a s s e l
grater|ɡ ɾ a t e ɾ
graue(2)|ɡ ɾ a ʊ̯ e ʔ
gravest|ɡ ɾ a b e s t
greely|ɡ ɾ e e l ɪ
greenland(2)|ɡ ɾ e ʔ ɪ n l ɐ n d
greenstreet|ɡ ɾ e ɪ̯ n s t ɾ e ʔ e t
gregerson|ɡ ɾ e ɰ e ɾ s o n
grettenberger|ɡ ɾ e t ə n b e ɾ ɡ e ɾ
griebel|ɡ ɾ i e b e l
grieved|ɡ ɾ i e b e d
grimace|ɡ ɾ ɪ m a s e
grinberg|ɡ ɾ ɪ n b e ɾ ɡ
grisanti|ɡ ɾ ɪ s a n t ɪ
grochowski|ɡ ɾ o t͡ʃ o ʊ̯ s k i
gropper|ɡ ɾ o p p e ɾ
grosskopf|ɡ ɾ o s k o p f
growers'|ɡ ɾ o w e ɾ s
grubman|ɡ ɾ ʊ b m a n
gruis|ɡ ɾ u ɪ s
grunden|ɡ ɾ ʊ n d e n
guarani|ɡ w ɐ ɾ a n ɪ
guardino|ɡ w ɐ ɾ d i n o
guastella|ɡ w ɐ s t e l j ɐ
guesswork|ɡ e s w o ɾ k
guffy|ɡ ʊ f f i ʔ
guidepost|ɡ ɪ d e p o s t
guinier's|ɡ ɪ n j e ɾ s
gulledge|ɡ ʊ l j e d͡ʒ
gumucio|ɡ ʊ m u ʃ o
gundog|ɡ ʊ n d o ɡ
gurgling(2)|ɡ ʊ ɾ ɡ l i ŋ
gushers|ɡ ʊ s h e ɾ s
guster|ɡ ʊ s t e ɾ
haakenson|h ɐ ʔ ɐ x e n s o n
hairy|h a ɪ̯ ɾ ɪ
haldeman|h ɐ l d e m a n
hallgren|h ɐ l l ɡ ɾ e n
hallucinate|h ɐ l l ʊ s ɪ n a t e
halted(2)|h ɐ l t e d
halved|h ɐ l b e d
hambly|h ɐ m b l ɪ
hames|h ɐ m e s
hamitic|h ɐ m i t ɪ k
hammas|h ɐ m m a s
hammett|h ɐ m m e t t
hampered|h ɐ m p e ɾ e d
handelman|h ɐ n d e l m ɐ n
handkerchiefs|h ɐ n d k e ɾ t͡ʃ i e f s
hangin'|h ɐ ŋ i n
hanner|h ɐ n e ɾ
harada|h ɐ ɾ a d ɐ
harbison|h ɐ ɾ b ɪ s o n
hardigree|h ɐ ɾ d ɪ ɡ ɾ e ʔ e
harke|h ɐ ɾ k e
harley's|h ɐ ɾ l e ɪ̯ s
harped|h ɐ ɾ p e d
harpster|h ɐ ɾ p s t e ɾ
harstad|h ɐ ɾ s t a d
hartkopf|h ɐ ɾ t k o p f
hartsook|h ɐ ɾ t͡ʃ ʊ k
haselhorst|h ɐ s e l h o ɾ s t
hast|h ɐ s t
hatreds|h ɐ t ɾ e d s
hausa|h a ʊ̯ s ɐ
hauswirth|h a ʊ̯ s w i ɾ θ
hawke's|h a ʊ̯ x e s
haynes|h a ɪ̯ n e s
headhunter|h e ɐ d h ʊ n t e ɾ
healey|h e ɐ l e ɪ̯
heaping|h e ɐ p i ŋ
heavner|h e ɐ̯ b n e ɾ
hedger|h e d͡ʒ e ɾ
hedy|h e d ɪ
heidecker|h e ɪ̯ d e k e ɾ
heiman|h e ɪ̯ m ɐ n
heines|h e ɪ̯ n e s
heinz's|h e ɪ̯ n s ɪ s
heisman's|h e ɪ̯ s m ɐ n s
helbling|h e l b l ɪ ŋ
helens|h e l e n s
helicons|h e l ɪ x o n s
heliotrope|h e l ɪ o t ɾ o p e
hellenize|h e l l e n i s e
hellums|h e l l ʊ m s
hem|h e m
hemiplegia(2)|h e m ɪ p l e ɰ ɐ ʔ a
henrichs|h e n ɾ i t͡ʃ s
henshaw|h e n ʃ a ʊ̯
herbal(2)|h e ɾ b ɐ l
herbers|h e ɾ b e ɾ s
herbst|h e ɾ b s t
herder(2)|h e ɾ d e ɾ
hermetically|h e ɾ m e t ɪ x ɐ l i
herniate|h e ɾ ɲ ɐ t e
herons|h e ɾ o n s
herron|h e ɾ o n
hershiser|h e ɾ ʃ ɪ s e ɾ
herzfeld|h e ɾ s f e l d
heslep|h e s l e p
hesston|h e s t o n
hickam|h ɪ k a m
hilbun|h ɪ l b u n
hilemon|h ɪ l e m o n
hilmer|h ɪ l m e ɾ
hinely|h ɪ n e l ɪ
hiroshima(2)|h ɪ ɾ o s h i m ɐ x e
histrionics|h ɪ s t ɾ ɪ o n ɪ k s
hitty|h ɪ t t i
hix|h ɪ k s
hoaglund|h o ɐ ɡ l ʊ n d
hoberg|h o b e ɾ ɡ
hochstein(2)|h o t͡ʃ s t e ɪ̯ n
hoefler|h o e f l e ɾ
hoffman's|h ɔ f m ɐ n s
hogarty|h o ɰ a ɾ t ɪ
hoheisel|h o h e ɪ̯ s e l
hollar|h o l l ɐ ɾ
holliday's|h o l l ɪ d a ɪ̯ s
hollowing|h o l l o w ɪ ŋ
holverson|h o l b e ɾ s o n
homo-erectus|h o m o ʔ e ɾ e k t ʊ s
hooded|h ʊ d e d
hookers|h ʊ k e ɾ s
hooter|h ʊ t e ɾ
hopman|h o p m ɐ n
horelick|h o ɾ e l ɪ k
hornberger|h o ɾ n b e ɾ ɡ e ɾ
horrell|h o ɾ ɾ e l l
horstmann|h o ɾ s t m ɐ n e n
hosed|h o s e d
hosler(2)|h o s l e ɾ
hospitalize|h o s p ɪ t ɐ l i s e
hottel|h o t e l
houck|h o ʊ̯ k
houseware|h a ʊ̯ s w ɛ ɾ
hovan|h o b ɐ n
hovland|h o b l ɐ n d
howeth|h o w e θ
howry|h o ʊ̯ ɾ ɪ
huberman|h ʊ b e ɾ m a n
huddles|h ʊ dː l e s
hudon|h ʊ d o n
huenink|h ʊ e n i ŋ k
huggy|h ʊ ɡ ɡ i
hughs|h ʊ ɡ h s
hugoton(2)|h ʊ ɰ o t o n
hullinger|h ʊ l l ɪ ŋ e ɾ
humpherys|h u m p h e ɾ ɪ s
huntzinger|h ʊ n t͡s ɪ ŋ e ɾ
hurrell|h ʊ ɾ e l l
hust|h ʊ s t
hustling|h ʊ s t l i ŋ
hutsell|h ʊ t͡ʃ e l l
huyck|h ʊ ɪ k
hydrants|h ɪ d ɾ a n t s
hygienists|h ɪ ɰ i e n ɪ s t s
hyun(2)|h j ʊ n
icelandair|ʔ ɪ s e l ɐ n d a ɪ̯ ɾ
identa|ʔ ɪ d e n t ɐ
identities(2)|ʔ ɪ d e n t i t͡ʃ e s
idiotically|ʔ ɪ d ɪ o t ɪ x a l l ɪ
idleman|ʔ ɪ d l e m ɐ n
ikie|ʔ ɪ x i
illegible|ʔ ɪ l l e d͡ʒ i b l e
immaculately|ʔ ɪ m m a x ʊ l a t e l ɪ
immobile(3)|ʔ ɪ m m o b ɪ l e k s
impatiently|ʔ ɪ m p ɐ ʃ e n t l ɪ
imperialists|ʔ ɪ m p e ɾ ɪ ɐ l i s t s
implicitly|ʔ ɪ m p l i s ɪ t l ɪ
impractical(2)|ʔ ɪ m p ɾ a k t ɪ x ɐ l
impressionist|ʔ ɪ m p ɾ e ʃ o n i s t
impugning|ʔ ɪ m p ʊ ɡ n i ŋ
inadmissible(2)|ʔ ɪ n ɐ d m ɪ s i b l e
inaugural(2)|ʔ ɪ n a ʊ̯ ɰ ʊ ɾ a l
incarnations|ʔ ɪ ŋ k ɐ ɾ n ɐ ʃ o n s
incites|ʔ ɪ n s i t e s
incom|ʔ ɪ ŋ k o m
incongruous|ʔ ɪ ŋ k o ŋ ɡ ɾ ʊ o ʊ s
incumbency|ʔ ɪ ŋ k u m b e n s ɪ
indata|ʔ ɪ n d a t ɐ
indelicato|ʔ ɪ n d e l ɪ x a t o
ineffectiveness|ʔ ɪ n e f f e k t ɪ v n e s
inexact|ʔ ɪ n e ɡ z a k t
infant's|ʔ ɪ m f a n t s
infected(2)|ʔ ɪ m f e k t e d
infests(2)|ʔ ɪ m f e s t s
inflexible|ʔ ɪ n f l e k s ɪ b l e
infotechnology|ʔ ɪ n f o t e t͡ʃ n o l o ɡ ɪ
inglett|ʔ ɪ ŋ ɡ l e t
inheritor|ʔ ɪ ŋ h e ɾ ɪ t o ɾ
inimitable|ʔ ɪ n ɪ m ɪ t a b l e
innately|ʔ ɪ n n a t e l ɪ
innovated|ʔ ɪ n n o b a t e d
inordinate|ʔ ɪ n o ɾ d ɪ n a t e
insatiable|ʔ ɪ n s ɐ ʃ a b l e
insinuate|ʔ ɪ n s ɪ n w a t e
instigated|ʔ ɪ n s t ɪ ɰ a t e d
institutes'|ʔ ɪ n s t ɪ t u t e s
insurer's|ʔ ɪ n ʃ ʊ ɾ e ɾ s
integrated(4)|ʔ ɪ n t e ɡ ɾ a t e d
intel's|ʔ ɪ n t e l s
intellects(2)|ʔ ɪ n t e l l e k t s
interchangeable(2)|ʔ ɪ n t e ɾ t͡ʃ e ŋ e ɐ b l e
interfaces|ʔ ɪ n t e ɾ f a s e s
intermediary(2)|ʔ ɪ n t e ɾ m e d͡ʒ a ɾ ɪ x
internationalism(2)|ʔ ɪ n t e ɾ n ɐ ʃ o n ɐ l i s m
interplanetary|ʔ ɪ n t e ɾ p l ɐ n e t a ɾ ɪ
interrent|ʔ ɪ n t e ɾ e n t
interrupts(2)|ʔ ɪ n t e ɾ ʊ p t͡s
interval(2)|ʔ ɪ n t e ɾ b ɐ l
interventionists(4)|ʔ ɪ n t e ɾ b e n ʃ o n i s t s
into(3)|ʔ ɪ n t o ʔ e
intracompany|ʔ ɪ n t ɾ ɐ x u m p ɐ ɲ
intrawest(2)|ʔ ɪ n t ɾ ɐ w e s t
intrigues(2)|ʔ ɪ n t ɾ i ɰ e s % p o
invests(2)|ʔ ɪ m b e s t s
inzer|ʔ ɪ n s e ɾ
iolande|ʔ ɪ o l a n d e
iott|ʔ ɪ o t ɪ
irbinna|ʔ ɪ ɾ b ɪ n n a
irette|ʔ ɪ ɾ e t e
ironing|ʔ ɪ ɾ o n ɪ ŋ
isenhour|ʔ ɪ s e ŋ h o ʊ̯ ɾ
ishi's|ʔ ɪ s h i s
isoelectronic|ʔ ɪ s o e l e k t ɾ o n ɪ k
itemized|ʔ ɪ t e m ɪ s e d
ivatans|ʔ ɪ b ɐ t a n s
ivorians|ʔ ɪ b o ɾ j ɐ n s
jacki's|d͡ʒ a k ɪ s
jacky's|d͡ʒ a k i s
jacobs'|d͡ʒ a x o b s
jaggers|d͡ʒ ɐ ɡ ɡ e ɾ s
jakes|d͡ʒ a x e s
jambor|d͡ʒ ɐ m b o ɾ
jammu's|d͡ʒ ɐ m m u s
janas|d͡ʒ a n ɐ s
janiga|d͡ʒ ɐ n i ɰ ɐ
janosik|d͡ʒ ɐ n o s ɪ k
jares|h a ɾ e s
jarislowsky|d͡ʒ ɐ ɾ ɪ s l o ʊ̯ s k i
jaso|h ɐ s o
jayroe|h a ɪ̯ ɾ o e
jeaner|h e ɐ n e ɾ
jerritts|d͡ʒ e ɾ ɪ t͡ʃ
jeschke|d͡ʒ e ʃ k e
jettisoned|d͡ʒ e t ɪ s o n e d
jewelsburg(2)|d͡ʒ u e l s b ʊ ɾ ɡ
jiggetts|d͡ʒ ɪ ɡː e t͡ʃ
jillions|d͡ʒ ɪ l l j o n s
jimmerson|d͡ʒ ɪ m m e ɾ s o n
jiving|d͡ʒ i b ɪ ŋ
jobber|d͡ʒ o b b e ɾ
joe's|h o e s
johanning|d͡ʒ o h a n n ɪ ŋ
joiner|d͡ʒ o ɪ̯ n e ɾ
jose's|h o s e s
joseph(2)|d͡ʒ o s e p h
joycelyn|d͡ʒ o ɪ̯ s e l ɪ n
judkins|d͡ʒ ʊ d k i n s
juhasz|d͡ʒ u h ɐ s
jukes|d͡ʒ u x e s
juliann(2)|d͡ʒ ʊ l j a n n
junked|d͡ʒ ʊ ŋ k e d
jurkiewicz|d͡ʒ ʊ ɾ k i ʔ e w ɪ t͡ʃ
justman|d͡ʒ ʊ s t m a n
juxtapositions|d͡ʒ ʊ k s t ɐ p o s ɪ ʃ o n s
kabler(2)|k x ɐ b l e ɾ
kadrmas|k x ɐ d ɾ m a s
kaifu|k x a ɪ̯ f ʊ
kainz|k x ɐ ʔ i n s
kallas|k x ɐ l l a s
kammerzell|k x ɐ m m e ɾ s e l l
kapaun|k x ɐ p a ʔ ʊ n
karasek|k x ɐ ɾ a s e k
karlow|k x ɐ ɾ l o ʊ̯
karpf|k x a ɾ p f
kasparek|k x ɐ s p a ɾ e k
kassin|k x ɐ s i n
kaucher|k x a ʊ̯ t͡ʃ e ɾ
kazin|k x ɐ s i n
keagy|k x e ɐ ɰ ɪ
kedar|k x e d ɐ ɾ
keels|k x e ʔ e l s
kehn|k x e h n
keinath|k x e ɪ̯ n a t
kellenberger|k x e l l e n b e ɾ ɡ e ɾ
kempf|k x e m p f
kenagy|k x e n a ɰ ɪ
kenerson|k x e n e ɾ s o n
kenneally|k x e n n e ɐ l l ɪ
keppler|k x e p p l e ɾ
kerchief|k x e ɾ t͡ʃ i e f
kerrick|k x e ɾ ɾ ɪ k
kerwen|k x e ɾ w e n
ketcher|k x e t͡ʃ e ɾ
ketterer|k x e t e ɾ e ɾ
kevin's|k x e b ɪ n s
kibby|k x ɪ b b i
kielbasa|k x ɪ e l b ɐ s a
kietzman|k j e t͡s m ɐ n
kiker|k x i x e ɾ
kilcrease(2)|k x ɪ l k ɾ e ɐ s e
killoran|k x ɪ l l o ɾ ɐ n
kinks|k x ɪ ŋ k s
kinney|k x ɪ n e ɪ̯
kintz|k x ɪ n t͡s
kirchners|k x ɪ ɾ t͡ʃ n e ɾ s
kirov|k x i ɾ o b
kirven|k x i ɾ b e n
kismayu(2)|k x ɪ s m a j ʊ ʔ
kiszczak(2)|k x ɪ s t͡ʃ a k
kitchen's|k x ɪ t͡ʃ e n s
kittredge|k x ɪ t ɾ e d͡ʒ e
kleinfelter|k x l e ɪ̯ n f e l t e ɾ
kleve|k x l e b e
klimczak|k x l ɪ m t͡ʃ a k
klooster|k x l o ʔ o s t e ɾ
klotzbach|k x l o t͡s b ɐ x
klutznick|k x l ʊ t͡s n i k
knapik|k x n a p ɪ k
kneed|k x n e ʔ e d
knick-knacks|k x n ɪ k n a k s
knightly|k x n i ɡ h t l ɪ
knowledge(2)|k x n o ʊ̯ l e d͡ʒ
koeller|k x o e l l e ɾ
koestler|k x o e s t l e ɾ
kohlmeier|k x o l m e j e ɾ
koko's|k x o x o s
kolasinski|k x o l ɐ s i n s k ɪ
kolokoff|k x o l o x o f
